target,trait,model,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
post_break_work_g_rawpos_mean,PRW,plumspectra_corrected,4853,412.73821435579856,297.0500859117236,2.1552007151017255e-14,0.07805060294853872,0.28036047629672844,0.15597141725386812,1.0415765826062244,1.0133574696180747,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,plumspectra_fixed_gate_sensitivity,4853,418.5459761348729,302.5448649669527,-2.2114233424522055e-14,0.05192200909742628,0.24131427963559565,0.14036374111040648,1.0271236216142163,0.999296078238957,4.872627703708249e-15,429.898458819708
skin_break_displacement_raw_mean,RD,global_pls,4853,0.521498291227692,0.3999497211630419,-3.5871207554342584e-17,0.11431323838173879,0.39359153625380205,0.34593688387722416,1.062685299574734,1.1858197686459724,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,cultivar_aware_pls,4853,0.5211761800861757,0.3983039712060558,-2.4890225649951996e-17,0.11540701556929012,0.3950844087658457,0.34772077061269824,1.063342088560873,1.1865526604662546,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,nested_rbf_svr,4853,0.5083762681101148,0.3852217319271915,4.3923927617562345e-18,0.15832406264947507,0.4239239632436821,0.36481703643432783,1.090114945572113,1.216427716722105,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,residual_cnn,4853,0.49460944228462156,0.37280493458134434,-1.0102503352039339e-16,0.20329199690770794,0.45731300903485106,0.3799421872910643,1.1204569109744282,1.2502854377313595,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,no_neural_b50,4853,0.5076711777834156,0.3856641593530455,-2.049783288819576e-17,0.16065716138798036,0.42414973749768947,0.3626048951625593,1.0916289757884217,1.2181171792201226,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,cultivar_mean_null,4853,0.555637340340365,0.40996331451349594,7.320654602927057e-19,-0.00544245972949664,-0.09832599382340136,-0.0048344423191479784,0.9973925933443102,1.112961527520952,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,plumspectra_corrected,4853,0.49570900627516623,0.37399085732920834,-1.2152286640858915e-16,0.19974574361394348,0.45415426125654756,0.37774486843826816,1.1179715535234471,1.247512099285157,5.856523682341646e-17,0.5541885678410118
skin_break_displacement_raw_mean,RD,plumspectra_fixed_gate_sensitivity,4853,0.49825028925810655,0.3763187305724601,-1.2079080094829644e-16,0.19151960540718194,0.44739332672054133,0.3742312609713273,1.11226943523946,1.2411492705276541,5.856523682341646e-17,0.5541885678410118
skin_break_drop_g_mean,PFD,global_pls,4853,180.8649821241101,140.02240305914628,-6.465602145305177e-15,-0.25455403836757484,0.11640094440274473,0.1052922058811427,0.8928943259692472,1.0893909483230406,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,cultivar_aware_pls,4853,163.6239605489457,126.23173603518785,9.089324754994235e-15,-0.026772419561704508,0.09614700449718026,0.05082683379440517,0.986978409295006,1.2041798385370013,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,nested_rbf_svr,4853,160.2135081704823,123.03599313166146,-1.7054196962978874e-14,0.015584023159674665,0.13022140404620247,0.04238175646307483,1.0079881412577465,1.229813120282921,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,residual_cnn,4853,158.2777983940461,121.51476552604775,-3.537340304134354e-15,0.03922787444940101,0.20445956940479776,0.09797947087068534,1.0203156598318093,1.2448535195320598,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,no_neural_b50,4853,161.11875947047866,123.90161837951753,-3.490488114675621e-14,0.0044281417433835735,0.11634037501779781,0.047159983119740435,1.0023247251648384,1.2229033729043566,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,cultivar_mean_null,4853,161.84814805668452,124.70565864540035,-3.996491760829939e-14,-0.004606218027155773,-0.09050952815029736,-0.004092479210995944,0.9978076255070091,1.2173922084397704,1.7429014478648737e-14,161.49331630514723
skin_break_drop_g_mean,PFD,plumspectra_corrected,4853,158.48037701933362,121.58900283306367,-1.0565168722944329e-14,0.03676692980179164,0.19175029613431963,0.07131185187307805,1.0190114343648113,1.2432622770109725,1.7429014478648737e-14,161.49331630514723
