model,trait,shots,adapter,aggregation,repeats,n_evaluation_mean,rmse_mean,rmse_sd,rmse_ci025,rmse_ci975,r2_mean,r2_sd,r2_ci025,r2_ci975,ccc_mean,ccc_ci025,ccc_ci975,rmse_gain_pct_mean,rmse_gain_pct_ci025,rmse_gain_pct_ci975
Cultivar-aware PLSR,RD,80,shrunken_affine,pooled,500,856.0,0.3635169723648374,0.005892435748639844,0.35200269166366605,0.3756457420949326,0.06629819279911202,0.024026013416951444,0.015490832420920211,0.10678194970398794,0.1924799787492585,0.16792488497472524,0.21328937145526156,20.38442304231097,18.394443348836518,22.01401845355343
Cultivar-aware PLSR,SRF,0,none,batch_macro,1,1256.0,226.45010218363436,,226.45010218363436,226.45010218363436,-0.972367490405114,,-0.972367490405114,-0.972367490405114,-0.019219700376532693,-0.019219700376532693,-0.019219700376532693,0.0,0.0,0.0
Cultivar-aware PLSR,SRF,0,none,pooled,1,1256.0,227.7730967169764,,227.7730967169764,227.7730967169764,-0.2458562937002977,,-0.2458562937002977,-0.2458562937002977,-0.04649310620282977,-0.04649310620282977,-0.04649310620282977,0.0,0.0,0.0
Cultivar-aware PLSR,SRF,5,intercept,batch_macro,500,1231.0,197.13717309393166,10.355620224487897,183.23935454206966,221.3548973031211,-0.4061600728530128,0.16429095338483052,-0.8093146415109267,-0.1997758316586029,-0.0037121005783874207,-0.014399394751090205,0.011016471887131273,12.027649012831873,0.6354914345929995,18.29679994217242
Cultivar-aware PLSR,SRF,5,intercept,pooled,500,1231.0,202.22068392492704,11.963676142086094,187.0364686110161,232.80365412128708,0.014224442279855025,0.12180876833060726,-0.31048522027251396,0.16078318862315086,0.35999934501115954,0.1702910995392251,0.4679671341876341,11.210698814272805,-2.4986172655315846,17.916617748379693
Cultivar-aware PLSR,SRF,5,shrunken_affine,batch_macro,500,1231.0,194.14440715963335,10.782473518177033,178.67301256164927,221.0244026747033,-0.3559152354920725,0.16868971614494527,-0.7979092966453297,-0.13135245407451582,-0.00228660952063512,-0.024484872128893873,0.01746808789627961,13.559373503801266,1.0694823949800325,20.39662465764243
Cultivar-aware PLSR,SRF,5,shrunken_affine,pooled,500,1231.0,199.10767150208417,12.55122964654339,182.39688095007116,230.2462420596335,0.04387612210641769,0.1259608653354288,-0.2774136796079611,0.19942037219429856,0.3694074707304403,0.1820703162051485,0.4822512521290191,12.577987376655225,-1.313529799491652,19.806602539152692
Cultivar-aware PLSR,SRF,10,intercept,batch_macro,500,1206.0,189.87374594845787,5.244596992675685,182.60303448967767,202.32721727455038,-0.29590961559505496,0.07734816751344982,-0.48578057833630917,-0.1912326344633687,-0.004652312312034177,-0.01521301393126714,0.006736561759120651,15.284639748304166,9.31909056802624,18.637793636023705
Cultivar-aware PLSR,SRF,10,intercept,pooled,500,1206.0,194.52323499957285,6.395249089586929,186.66591759406467,209.9851792554232,0.0898368963455499,0.06247043259218383,-0.07265186077068303,0.16614774507421268,0.3759947073569281,0.23475834624107866,0.46182563239591357,14.600695770121517,7.36231354135444,18.165291192641334
Cultivar-aware PLSR,SRF,10,shrunken_affine,batch_macro,500,1206.0,184.07341364109362,5.978785377214879,174.77164443368795,197.6717346225558,-0.20550965550597378,0.08654991523233824,-0.4061700933590214,-0.07691441494185942,-0.00015561858878294614,-0.019241539958487368,0.02150658637655752,18.17960758950644,12.143043446190182,22.24940699171127
