target,trait,model,cultivar_ascii,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
ph,pH,plumspectra_corrected,Qingcuili,329,0.42483767615579393,0.3409001821983182,0.00618699329001554,0.031049080661492257,0.18117358644309303,0.05027582524539907,1.0174431156700396,1.3181505111958118,4.075106382978723,0.43224816888197026
ph,pH,plumspectra_corrected,Weidi,681,0.3427751699734359,0.27406923030080965,0.012503497372626883,0.03460567706164219,0.1897471705446142,0.06576660570909203,1.0185133581789525,1.4003348026556273,4.938766519823789,0.3491210894700054
ph,pH,plumspectra_corrected,Weijin,317,0.3205503768411774,0.25481450755918944,-0.011209322518097004,-0.014359590658651111,0.01651021648612607,0.00428613253502502,0.9944664130533377,1.2478537818041229,4.194511041009464,0.31877658346014137
ph,pH,plumspectra_corrected,Weiwang,478,0.4173826147347496,0.34688476912095895,0.004945864685713712,-0.035891887323028726,-0.10459291970120241,-0.023029818649915136,0.9835524914758922,1.5034167160958092,4.320100418410042,0.4105177106210854
ph,pH,plumspectra_corrected,Weixin,191,0.3895558778730546,0.3300165975785494,0.0003788158112010032,-0.0024425854523466572,0.059802303764344984,0.016126646466935273,1.0014058616466839,1.6300614008625702,4.778848167539267,0.3901035395409966
ph,pH,plumspectra_corrected,Zaoshu Konglongdan,264,0.22579352496374955,0.18169542649363746,0.0003128205990785122,0.007927589273109437,0.12298405964832473,0.048998725043000596,1.005894429506756,1.3286474891083078,5.147310606060605,0.22712444897973033
ph,pH,plumspectra_fixed_gate_sensitivity,3.13,300,0.3569338948792053,0.27878658712832455,0.012140813949555046,0.07622040618998005,0.30263190238326054,0.10709750818963608,1.0421754798818919,1.3728032193911637,4.953833333333334,0.3719877531818485
ph,pH,plumspectra_fixed_gate_sensitivity,A181,310,0.359507837607303,0.28890099872348335,0.003160950834435203,0.028088859358733398,0.1740753565787087,0.043786768116122865,1.0159874118699321,1.4394679221577218,4.745774193548387,0.36525543747759964
ph,pH,plumspectra_fixed_gate_sensitivity,Cuihongli,295,0.2782393992275765,0.22342333895967414,0.011844142024634905,-0.08032389096682624,-0.059789187672254475,-0.02571126664070829,0.9637410381263595,1.329790105309175,3.9990169491525425,0.2681507274592392
ph,pH,plumspectra_fixed_gate_sensitivity,Fengtangli,183,0.47135681899870296,0.39123922621655804,0.027691757666643037,0.03059161768139873,0.19068154496430786,0.05271921233418516,1.018442385639322,1.5062898665776037,4.809836065573769,0.4800497632284012
ph,pH,plumspectra_fixed_gate_sensitivity,Fengwei Huanghou,86,0.27773819341134826,0.23492247144697226,-0.009241163261391216,-0.03572650301974778,-0.018473211820829415,-0.006043421032281614,0.9883646820042312,1.440205234602263,5.002209302325581,0.2745066212114369
ph,pH,plumspectra_fixed_gate_sensitivity,Furongli,276,0.4070041037429268,0.31597863523094816,-0.008174579442590438,0.07171104374066761,0.34562439039280485,0.08700588110925708,1.0397923125267179,1.3329103933130244,3.9609420289855075,0.42319973823872203
ph,pH,plumspectra_fixed_gate_sensitivity,Konglongdan,773,0.3714287665416819,0.3019116881534729,-0.0027484476260002987,0.012674340932867012,0.11284305466881792,0.025638304057144887,1.0070496547140906,1.4269223273543177,4.148218628719276,0.37404721109668126
ph,pH,plumspectra_fixed_gate_sensitivity,L31,216,0.30616464599609877,0.23492258666453883,0.011241427288087462,-0.02490373036142124,-0.023461533642714125,-0.006065791536125968,0.9900704730261027,1.2003345415808833,4.726912037037037,0.3031245758852268
ph,pH,plumspectra_fixed_gate_sensitivity,Naili,144,0.30279536653560857,0.23870820494712477,0.002184823125721448,0.08948807185793495,0.3027200143045127,0.14587728841580086,1.0516480175828409,1.3540497818409793,4.466041666666666,0.3184341469504424
ph,pH,plumspectra_fixed_gate_sensitivity,Qingcuili,329,0.42483767615579393,0.3409001821983182,0.00618699329001554,0.031049080661492257,0.18117358644309303,0.05027582524539907,1.0174431156700396,1.3181505111958118,4.075106382978723,0.43224816888197026
ph,pH,plumspectra_fixed_gate_sensitivity,Weidi,681,0.3427751699734359,0.27406923030080965,0.012503497372626883,0.03460567706164219,0.1897471705446142,0.06576660570909203,1.0185133581789525,1.4003348026556273,4.938766519823789,0.3491210894700054
ph,pH,plumspectra_fixed_gate_sensitivity,Weijin,317,0.3205503768411774,0.25481450755918944,-0.011209322518097004,-0.014359590658651111,0.01651021648612607,0.00428613253502502,0.9944664130533377,1.2478537818041229,4.194511041009464,0.31877658346014137
