target,trait,candidate,baseline,candidate_rmse,baseline_rmse,rmse_delta_baseline_minus_candidate,rmse_delta_ci_low,rmse_delta_ci_high,relative_rmse_improvement_pct,relative_improvement_ci_low,relative_improvement_ci_high,bootstrap_probability_candidate_better,cluster_bootstrap_iterations,clusters,claim_status
loading_work_g_rawpos_mean,LW,plumspectra_corrected,cultivar_mean_null,534.9446007908733,546.0480863094796,11.103485518606249,3.094382320686184,18.226048727105677,2.0334263221487126,0.6462715932823829,3.15300150446533,0.998055,200000,15,supported_outperformance
loading_work_g_rawpos_mean,LW,plumspectra_corrected,no_neural_b50,534.9446007908733,546.3478754364378,11.403274645564466,5.058123021102783,17.847735626725434,2.0871820241737393,1.0234773904660335,3.095605944745042,1.0,200000,15,supported_outperformance
loading_work_g_rawpos_mean,LW,residual_cnn,nested_rbf_svr,532.2380325960456,543.367218094603,11.129185498557376,0.1953384314086208,21.532953799698436,2.0481886149818718,0.04378450159583716,3.645338662879864,0.977245,200000,15,supported_outperformance
loading_work_g_rawpos_mean,LW,plumspectra_corrected,residual_cnn,534.9446007908733,532.2380325960456,-2.706568194827696,-7.848958954032108,2.850551652558118,-0.508525890497924,-1.3689963629596917,0.6324928918249053,0.18406,200000,15,statistical_parity
loading_work_g_rawpos_mean,LW,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,530.3553259004597,534.9446007908733,4.589274890413662,1.7744184990805507,7.914688598770637,0.8578972259237316,0.3598845553786209,1.4335088707850285,1.0,200000,15,supported_outperformance
ph,pH,plumspectra_corrected,cultivar_mean_null,0.36121948404371385,0.3650476696820776,0.0038281856383637347,0.00014358595149095165,0.00755653630940062,1.0486810234120236,0.03993589012453724,2.043463050170637,0.97877,200000,15,supported_outperformance
ph,pH,plumspectra_corrected,no_neural_b50,0.36121948404371385,0.3643599909655801,0.0031405069218662374,0.001343009555878183,0.004812977898755711,0.8619241957778301,0.37634255160223423,1.288063972297996,0.99979,200000,15,supported_outperformance
ph,pH,residual_cnn,nested_rbf_svr,0.3627847489315851,0.3630788450628649,0.0002940961312798418,-0.0042351532597361494,0.004320972091917288,0.08100062432140342,-1.2252802872351098,1.147311537220894,0.55503,200000,15,statistical_parity
ph,pH,plumspectra_corrected,residual_cnn,0.36121948404371385,0.3627847489315851,0.0015652648878712316,-0.0004615393968699352,0.003801175564489078,0.43145829379018785,-0.12349061217986401,1.0907609365254398,0.9305,200000,15,statistical_parity
ph,pH,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,0.36121948404371385,0.36121948404371385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,15,statistical_parity
post_break_work_g_rawpos_mean,PRW,plumspectra_corrected,cultivar_mean_null,413.5152471591815,430.8673167725489,17.352069613367405,6.437546317038742,26.350302454733082,4.027242015789145,1.9760395667628192,5.649402982457867,0.998215,200000,15,supported_outperformance
post_break_work_g_rawpos_mean,PRW,plumspectra_corrected,no_neural_b50,413.5152471591815,423.54623382231017,10.030986663128658,7.8347422868342464,13.084893612079782,2.368333339339035,1.6653112124954683,3.987151763812368,1.0,200000,15,supported_outperformance
post_break_work_g_rawpos_mean,PRW,residual_cnn,nested_rbf_svr,414.29158972398614,423.44504969306433,9.153459969078199,-3.4017329809334496,20.10156768510976,2.161664181860934,-1.0482801304683025,4.440948547193651,0.929645,200000,15,statistical_parity
post_break_work_g_rawpos_mean,PRW,plumspectra_corrected,residual_cnn,413.5152471591815,414.29158972398614,0.7763425648046223,-4.6180020451974855,8.081766789204528,0.18739037529625913,-1.0348863989146289,2.536410408496942,0.602955,200000,15,statistical_parity
post_break_work_g_rawpos_mean,PRW,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,418.6897078982259,413.5152471591815,-5.1744607390443775,-6.8798423962832045,-4.010402022279706,-1.251334932530912,-2.173017549897638,-0.8701672292518603,0.0,200000,15,supported_inferiority
