sample_id,cultivar_code,trait,value
WD_B01-0577,WD,AF,28.471999349857416
WD_B01-0578,WD,AF,34.87290391385633
WD_B01-0580,WD,AF,29.230445481241016
WD_B01-0582,WD,AF,45.31935032554519
WD_B01-0587,WD,AF,25.551409079271625
WD_B01-0589,WD,AF,36.365550889426906
WD_B01-0596,WD,AF,31.503403969900123
WD_B01-0608,WD,AF,19.910438087588624
WD_B01-0613,WD,AF,20.47328573637379
WD_B01-0616,WD,AF,21.981848329920062
WD_B01-0625,WD,AF,33.493451193234336
WD_B01-0628,WD,AF,25.498009949801784
WD_B01-0635,WD,AF,25.943498509027883
WD_B01-0647,WD,AF,32.42948469435478
WD_B01-0654,WD,AF,33.52349750006695
WD_B01-0673,WD,AF,25.230568070172893
WD_B01-0684,WD,AF,26.0944737636571
WD_B01-0687,WD,AF,33.26022045504852
WD_B01-0688,WD,AF,19.551072358343134
WD_B01-0690,WD,AF,23.235463547668832
WD_B01-0698,WD,AF,34.378924780237
WD_B01-0699,WD,AF,27.743004548933506
WD_B01-0704,WD,AF,32.65869934202337
WD_B01-0726,WD,AF,23.495765710822646
ZSKLD_B01-0001,ZSKLD,AF,77.73039075233936
ZSKLD_B01-0012,ZSKLD,AF,65.75872240866236
ZSKLD_B01-0016,ZSKLD,AF,65.4551357143784
ZSKLD_B01-0023,ZSKLD,AF,55.56692588458454
ZSKLD_B01-0029,ZSKLD,AF,68.5320560269497
ZSKLD_B01-0041,ZSKLD,AF,106.6344916930321
ZSKLD_B01-0043,ZSKLD,AF,52.81917625033289
ZSKLD_B01-0044,ZSKLD,AF,64.65935481559389
ZSKLD_B01-0055,ZSKLD,AF,72.04286285947512
ZSKLD_B01-0059,ZSKLD,AF,74.10966203491641
ZSKLD_B01-0062,ZSKLD,AF,90.06826705355044
ZSKLD_B01-0063,ZSKLD,AF,47.74849011209658
ZSKLD_B01-0069,ZSKLD,AF,55.83704515789159
ZSKLD_B01-0075,ZSKLD,AF,69.99822655392522
ZSKLD_B01-0077,ZSKLD,AF,81.88139216212991
ZSKLD_B01-0078,ZSKLD,AF,53.168427381238686
ZSKLD_B01-0087,ZSKLD,AF,69.67381568658897
ZSKLD_B01-0095,ZSKLD,AF,62.749183170324585
ZSKLD_B01-0106,ZSKLD,AF,86.79827690796563
ZSKLD_B01-0111,ZSKLD,AF,68.21746226976668
ZSKLD_B01-0116,ZSKLD,AF,47.37796857585878
ZSKLD_B01-0117,ZSKLD,AF,93.23770619211129
ZSKLD_B01-0122,ZSKLD,AF,39.46403909551668
ZSKLD_B01-0134,ZSKLD,AF,64.03462962402473
