trait,cultivar_code,n,rmse_reduction_pct,r2_within,pearson_r
LS,FTL,183,3.5037065615698135,0.10568404000665166,0.337321657775942
LS,FWHH,86,2.111548455253203,0.18774080646288394,0.4886757884507326
LS,KLD,778,7.416834002407515,0.06672779114190552,0.2623029843297829
LS,L31,216,1.314219068658361,0.08847118895960271,0.3345626932282784
LS,L313,300,11.880361015082894,0.2054840854294463,0.4565688168883998
LS,LA191,310,7.414941629505795,0.10988335371355318,0.33589986135882993
LS,NL,144,2.9049616021254723,0.4415254150349215,0.737916836820605
LS,QCL,329,1.6547513865095593,0.08245059350223949,0.3281501087331147
LS,WD,681,18.936071468872388,0.2977928382399959,0.5742782026598591
LS,WJ,320,8.068234383506264,-0.02780221136097616,0.1442343049126506
LS,WW,478,9.179509115883889,0.08236360090949202,0.3294658502806341
LS,WX,191,2.2404999937365955,0.04863862542046293,0.23552648782035754
LS,ZSKLD,264,6.33681949854196,0.10995121318386658,0.3358436333552128
LW,CHL,295,3.7308613611969195,-0.03176321022689188,0.03880024084891205
LW,FRL,278,1.0467359377530212,0.046753765325178165,0.27977006486189276
LW,FTL,183,-0.45062079340337896,0.018901710428432028,0.14274412199527584
LW,FWHH,86,-1.7099794652053018,0.0332119451450581,0.18644383837633108
LW,KLD,778,3.37121085666281,0.04171534190983561,0.22303562537377838
LW,L31,216,0.9988201143397977,-0.017905937531326854,0.05189025261182823
LW,L313,300,4.774879312178888,0.04360790103818146,0.22593303533729864
LW,LA191,310,6.6316219556367795,-0.032304087211723065,0.01630727893677926
LW,NL,144,2.8350446219739096,-0.008752607859491501,0.05834712843169949
LW,QCL,329,1.4144112787416585,0.018162972252709575,0.13693105544077067
LW,WD,681,5.402904231979162,0.08848094856650535,0.29754751060717505
LW,WJ,320,6.727378181153649,-0.04346657409460941,0.022474269254076938
LW,WW,478,6.151329630545377,0.09421544780812474,0.41133940328030744
LW,WX,191,2.397684615961524,0.01036945357919783,0.11093190446909142
LW,ZSKLD,264,2.1727627944239223,-0.023270087681040552,0.006471825882610271
MFF,CHL,295,-0.6789100035355011,0.05113707437867876,0.23188997882582596
MFF,FRL,278,1.320940578649372,0.08771284904861398,0.3441275677404145
MFF,FTL,183,2.358209238550241,0.07430458009183982,0.28778653259360404
MFF,FWHH,86,1.2606332564922076,0.08750349164033555,0.39107409365516005
MFF,KLD,778,5.3529738301510505,0.06262105466920853,0.2729146494470672
MFF,L31,216,3.5357335367900466,0.03254121202939553,0.18119271001231044
MFF,L313,300,5.106814762559452,0.10314258329431625,0.34780886295993063
MFF,LA191,310,0.41000303665206006,0.029959651596837444,0.2054475979755036
MFF,NL,144,6.694028245789072,0.26500979633883637,0.581275520678038
MFF,QCL,329,1.7799648461275919,0.030207329735272737,0.17498606414116777
MFF,WD,681,16.260423769238,0.0933999566166619,0.4516082180186428
MFF,WJ,320,3.4090302986131893,-0.02267268736762129,0.006572917556514456
MFF,WW,478,3.910769934928737,0.0627850505145543,0.3104969912060604
MFF,WX,191,3.3894349520981932,0.02687585329676445,0.17266850480652843
MFF,ZSKLD,264,5.508027702116717,-0.028136801220648655,0.17317688232010264
PFD,CHL,295,3.555808493368422,-0.027291112029200093,0.028529997897276123
PFD,FRL,278,1.6683427687100223,0.08232633491708707,0.2919377669879161
PFD,FTL,183,2.902432074940954,-0.04280794348547423,-0.10365986927411813
PFD,FWHH,86,11.914738702150602,-0.1120836830181553,-0.1076926524436321
PFD,KLD,778,1.9545223882045797,0.041469146093832565,0.20730522147672062
PFD,L31,216,2.509928396230591,-0.03597126748636126,-0.01686049991284985
PFD,L313,300,10.315207305643545,0.06946230581480128,0.26808374189334727
PFD,LA191,310,2.630348316716958,0.026296810038463847,0.17193205083799284
PFD,NL,144,-1.024877562499835,0.02717102361356538,0.18547433972280308
PFD,QCL,329,2.084511509624982,0.009574462078120405,0.10556013724657425
PFD,WD,681,10.64738583537274,0.1153170999040044,0.3434517161309746
PFD,WJ,320,4.450733813350669,-0.06310203493163624,0.1061419168669819
PFD,WW,478,0.9351174028147554,0.11207741093306967,0.4369750207555923
PFD,WX,191,2.7415527221893745,0.009696625951135851,0.11321016192055708
PFD,ZSKLD,264,2.7626496600072987,0.01208528026361333,0.12554277796132512
