sample_id,cultivar_code,PC1,PC2
313_A110_B01-0311,L313,-4.124432811473719,-1.8985061659708504
313_A110_B01-0312,L313,-3.8151022644725803,-1.117248162914554
313_A110_B01-0313,L313,-3.95585549371406,-1.6015455684448867
313_A110_B01-0314,L313,-4.204944166581567,-1.8192115563132174
313_A110_B01-0315,L313,-3.520468817323426,-2.0383281320677433
313_A110_B01-0316,L313,-4.002193756364616,-1.743555567278212
313_A110_B01-0317,L313,-4.149527708515454,-2.424729162067655
313_A110_B01-0318,L313,-4.211621712562266,-1.6245534073811776
313_A110_B01-0319,L313,-4.1346829682201145,-2.4930571455203645
313_A110_B01-0320,L313,-5.277254631892809,-1.4756601076385134
313_A110_B01-0321,L313,-4.276920801544116,-1.9004925125689642
313_A110_B01-0322,L313,-3.81410815491265,-1.2645392539174698
313_A110_B01-0323,L313,-3.9481188932231746,-1.6224169238968051
313_A110_B01-0324,L313,-2.7426613419363832,-2.485258456097809
313_A110_B01-0325,L313,-4.118184299309571,-2.1551487934574562
313_A110_B01-0326,L313,-3.6871456782958947,-1.1324594201990428
313_A110_B01-0327,L313,-4.295092341772418,-1.747227319988638
313_A110_B01-0328,L313,-3.0878340368578603,-1.4025812254748418
313_A110_B01-0329,L313,-3.27615160320217,-1.7095141090028272
313_A110_B01-0330,L313,-3.3577743034575924,-1.5024129301358227
313_A110_B01-0331,L313,-4.689978373999274,-1.5381062184720757
313_A110_B01-0332,L313,-3.5064662383458716,-2.0405283973805637
313_A110_B01-0333,L313,-4.431288073499059,-1.3171887065544556
313_A110_B01-0334,L313,-4.681394355564797,-1.0371835541806922
313_A110_B01-0336,L313,-3.598174376980106,-2.122450789056098
313_A110_B01-0337,L313,-4.365868006561963,-1.2827695790175662
313_A110_B01-0338,L313,-3.831272420192665,-2.0878332927229066
313_A110_B01-0339,L313,-3.9423921629981082,-1.8038298622260558
313_A110_B01-0340,L313,-5.0752240686530135,-1.522553770621468
313_A110_B01-0341,L313,-4.150702869071051,-1.7515128684700283
313_A110_B01-0342,L313,-4.304045901829447,-2.0769309711727417
313_A110_B01-0343,L313,-3.8516683356361296,-1.4872508473261714
313_A110_B01-0344,L313,-4.009805545546989,-1.4952127845267493
313_A110_B01-0346,L313,-4.174031373066998,-1.9394819808515051
313_A110_B01-0347,L313,-1.810799394128986,-1.478732596666801
313_A110_B01-0348,L313,-4.365011162213334,-1.393335607151803
